
Iter: 35, recon_loss: 3.4991, ce_loss: 0.3206, acc: 0.8644, mse: 0.0008, val_loss: 0.3518, val_acc: 0.8545, test_acc: 0.8873, test_auc: 0.9463
Iter: 36, recon_loss: 3.2520, ce_loss: 0.3130, acc: 0.8659, mse: 0.0007, val_loss: 0.3446, val_acc: 0.8662, test_acc: 0.8873, test_auc: 0.9432
Iter: 37, recon_loss: 3.4028, ce_loss: 0.3280, acc: 0.8703, mse: 0.0007, val_loss: 0.3632, val_acc: 0.8533, test_acc: 0.8723, test_auc: 0.9414
Iter: 38, recon_loss: 3.3069, ce_loss: 0.3171, acc: 0.8653, mse: 0.0007, val_loss: 0.3241, val_acc: 0.8768, test_acc: 0.8958, test_auc: 0.9474
Iter: 39, recon_loss: 3.0616, ce_loss: 0.3093, acc: 0.8706, mse: 0.0007, val_loss: 0.3252, val_acc: 0.8697, test_acc: 0.8883, test_auc: 0.9437
Iter: 40, recon_loss: 3.3429, ce_loss: 0.3138, acc: 0.8683, mse: 0.0007, val_loss: 0.3317, val_acc: 0.8721, test_acc: 0.8939, test_auc: 0.9474
Iter: 41, recon_loss: 3.4530, ce_loss: 0.3359, acc: 0.8548, mse: 0.0008, val_loss: 0.3254, val_acc: 0.8697, test_acc: 0.8920, test_auc: 0.9461
Iter: 42, recon_loss: 3.3511, ce_loss: 0.3316, acc: 0.8609, mse: 0.0007, val_loss: 0.3303, val_acc: 0.8709, test_acc: 0.8883, test_auc: 0.9451
Iter: 43, recon_loss: 3.0252, ce_loss: 0.3105, acc: 0.8691, mse: 0.0007, val_loss: 0.3271, val_acc: 0.8685, test_acc: 0.8911, test_auc: 0.9450
Iter: 44, recon_loss: 3.4891, ce_loss: 0.3144, acc: 0.8650, mse: 0.0007, val_loss: 0.3184, val_acc: 0.8779, test_acc: 0.8901, test_auc: 0.9455
Iter: 45, recon_loss: 3.3554, ce_loss: 0.3146, acc: 0.8662, mse: 0.0007, val_loss: 0.3314, val_acc: 0.8732, test_acc: 0.8948, test_auc: 0.9440
Iter: 46, recon_loss: 3.2852, ce_loss: 0.3082, acc: 0.8688, mse: 0.0007, val_loss: 0.3213, val_acc: 0.8709, test_acc: 0.8901, test_auc: 0.9457
Iter: 47, recon_loss: 3.1508, ce_loss: 0.3053, acc: 0.8706, mse: 0.0007, val_loss: 0.3313, val_acc: 0.8721, test_acc: 0.8958, test_auc: 0.9510
Iter: 48, recon_loss: 2.9530, ce_loss: 0.3096, acc: 0.8671, mse: 0.0007, val_loss: 0.3343, val_acc: 0.8756, test_acc: 0.8826, test_auc: 0.9487
Iter: 49, recon_loss: 3.2158, ce_loss: 0.3080, acc: 0.8715, mse: 0.0007, val_loss: 0.3289, val_acc: 0.8638, test_acc: 0.8901, test_auc: 0.9481
Iter: 50, recon_loss: 3.1934, ce_loss: 0.3126, acc: 0.8665, mse: 0.0007, val_loss: 0.3283, val_acc: 0.8721, test_acc: 0.9033, test_auc: 0.9494
Iter: 51, recon_loss: 3.0990, ce_loss: 0.3083, acc: 0.8685, mse: 0.0007, val_loss: 0.3266, val_acc: 0.8638, test_acc: 0.8920, test_auc: 0.9496
Iter: 52, recon_loss: 2.9561, ce_loss: 0.3057, acc: 0.8685, mse: 0.0007, val_loss: 0.3144, val_acc: 0.8756, test_acc: 0.8901, test_auc: 0.9473
Iter: 53, recon_loss: 2.9681, ce_loss: 0.2996, acc: 0.8735, mse: 0.0007, val_loss: 0.3639, val_acc: 0.8615, test_acc: 0.8826, test_auc: 0.9407
Iter: 54, recon_loss: 3.1205, ce_loss: 0.3066, acc: 0.8744, mse: 0.0007, val_loss: 0.3196, val_acc: 0.8709, test_acc: 0.8986, test_auc: 0.9485
Iter: 55, recon_loss: 3.0983, ce_loss: 0.3039, acc: 0.8656, mse: 0.0007, val_loss: 0.3217, val_acc: 0.8803, test_acc: 0.8995, test_auc: 0.9481
Iter: 56, recon_loss: 3.0168, ce_loss: 0.3040, acc: 0.8715, mse: 0.0007, val_loss: 0.3396, val_acc: 0.8662, test_acc: 0.8892, test_auc: 0.9478
Iter: 57, recon_loss: 2.8944, ce_loss: 0.2985, acc: 0.8741, mse: 0.0007, val_loss: 0.3205, val_acc: 0.8721, test_acc: 0.8854, test_auc: 0.9499
Iter: 58, recon_loss: 2.9986, ce_loss: 0.2983, acc: 0.8732, mse: 0.0007, val_loss: 0.3132, val_acc: 0.8744, test_acc: 0.8930, test_auc: 0.9493
Iter: 59, recon_loss: 2.9865, ce_loss: 0.3053, acc: 0.8680, mse: 0.0007, val_loss: 0.3175, val_acc: 0.8685, test_acc: 0.8873, test_auc: 0.9483
Iter: 60, recon_loss: 2.9766, ce_loss: 0.2946, acc: 0.8759, mse: 0.0007, val_loss: 0.3172, val_acc: 0.8721, test_acc: 0.8911, test_auc: 0.9489
Iter: 61, recon_loss: 3.7106, ce_loss: 0.3347, acc: 0.8542, mse: 0.0008, val_loss: 0.3174, val_acc: 0.8709, test_acc: 0.8939, test_auc: 0.9509
Iter: 62, recon_loss: 3.1853, ce_loss: 0.3158, acc: 0.8674, mse: 0.0007, val_loss: 0.3166, val_acc: 0.8744, test_acc: 0.8864, test_auc: 0.9477
