
Iter: 35, recon_loss: 2.4564, ce_loss: 0.3137, acc: 0.8706, mse: 0.0006, val_loss: 0.3407, val_acc: 0.8592, test_acc: 0.8883, test_auc: 0.9465
Iter: 36, recon_loss: 2.3290, ce_loss: 0.3123, acc: 0.8668, mse: 0.0006, val_loss: 0.3414, val_acc: 0.8638, test_acc: 0.8826, test_auc: 0.9452
Iter: 37, recon_loss: 2.2824, ce_loss: 0.3095, acc: 0.8685, mse: 0.0006, val_loss: 0.3245, val_acc: 0.8709, test_acc: 0.8883, test_auc: 0.9479
Iter: 38, recon_loss: 2.4072, ce_loss: 0.3448, acc: 0.8577, mse: 0.0006, val_loss: 0.3670, val_acc: 0.8486, test_acc: 0.8742, test_auc: 0.9421
Iter: 39, recon_loss: 2.4539, ce_loss: 0.3201, acc: 0.8633, mse: 0.0006, val_loss: 0.3236, val_acc: 0.8721, test_acc: 0.8854, test_auc: 0.9460
Iter: 40, recon_loss: 2.3493, ce_loss: 0.3101, acc: 0.8677, mse: 0.0006, val_loss: 0.3299, val_acc: 0.8674, test_acc: 0.8958, test_auc: 0.9482
Iter: 41, recon_loss: 2.2332, ce_loss: 0.3078, acc: 0.8729, mse: 0.0006, val_loss: 0.3113, val_acc: 0.8744, test_acc: 0.8883, test_auc: 0.9480
Iter: 42, recon_loss: 2.3715, ce_loss: 0.3118, acc: 0.8697, mse: 0.0006, val_loss: 0.3269, val_acc: 0.8709, test_acc: 0.8864, test_auc: 0.9462
Iter: 43, recon_loss: 2.1940, ce_loss: 0.3110, acc: 0.8680, mse: 0.0006, val_loss: 0.3408, val_acc: 0.8721, test_acc: 0.8779, test_auc: 0.9437
Iter: 44, recon_loss: 2.9988, ce_loss: 0.4166, acc: 0.8301, mse: 0.0007, val_loss: 0.4169, val_acc: 0.8509, test_acc: 0.8864, test_auc: 0.9292
Iter: 45, recon_loss: 2.1709, ce_loss: 0.3814, acc: 0.8515, mse: 0.0006, val_loss: 0.4022, val_acc: 0.8533, test_acc: 0.8854, test_auc: 0.9353
Iter: 46, recon_loss: 2.3378, ce_loss: 0.3657, acc: 0.8542, mse: 0.0006, val_loss: 0.3372, val_acc: 0.8674, test_acc: 0.8920, test_auc: 0.9448
Iter: 47, recon_loss: 2.3526, ce_loss: 0.3253, acc: 0.8674, mse: 0.0006, val_loss: 0.3314, val_acc: 0.8662, test_acc: 0.8958, test_auc: 0.9501
Iter: 48, recon_loss: 2.3250, ce_loss: 0.3233, acc: 0.8594, mse: 0.0006, val_loss: 0.3300, val_acc: 0.8709, test_acc: 0.8854, test_auc: 0.9479
Iter: 49, recon_loss: 2.4734, ce_loss: 0.3187, acc: 0.8694, mse: 0.0006, val_loss: 0.3259, val_acc: 0.8685, test_acc: 0.8864, test_auc: 0.9478
Iter: 50, recon_loss: 2.2122, ce_loss: 0.3061, acc: 0.8694, mse: 0.0006, val_loss: 0.3210, val_acc: 0.8768, test_acc: 0.8920, test_auc: 0.9498
Iter: 51, recon_loss: 2.1291, ce_loss: 0.3026, acc: 0.8785, mse: 0.0006, val_loss: 0.3262, val_acc: 0.8650, test_acc: 0.8911, test_auc: 0.9491
Iter: 52, recon_loss: 2.3355, ce_loss: 0.3229, acc: 0.8609, mse: 0.0006, val_loss: 0.3123, val_acc: 0.8791, test_acc: 0.8883, test_auc: 0.9465
Iter: 53, recon_loss: 2.1693, ce_loss: 0.3014, acc: 0.8738, mse: 0.0006, val_loss: 0.3201, val_acc: 0.8721, test_acc: 0.8864, test_auc: 0.9473
Iter: 54, recon_loss: 2.4885, ce_loss: 0.3172, acc: 0.8618, mse: 0.0006, val_loss: 0.3215, val_acc: 0.8756, test_acc: 0.8836, test_auc: 0.9491
Iter: 55, recon_loss: 2.1492, ce_loss: 0.2962, acc: 0.8753, mse: 0.0006, val_loss: 0.3196, val_acc: 0.8826, test_acc: 0.8920, test_auc: 0.9469
Iter: 56, recon_loss: 2.0555, ce_loss: 0.3024, acc: 0.8735, mse: 0.0006, val_loss: 0.3138, val_acc: 0.8768, test_acc: 0.8930, test_auc: 0.9495
Iter: 57, recon_loss: 2.3142, ce_loss: 0.3078, acc: 0.8674, mse: 0.0006, val_loss: 0.3146, val_acc: 0.8756, test_acc: 0.8883, test_auc: 0.9483
Iter: 58, recon_loss: 2.1232, ce_loss: 0.2964, acc: 0.8753, mse: 0.0006, val_loss: 0.3052, val_acc: 0.8779, test_acc: 0.8892, test_auc: 0.9497
Iter: 59, recon_loss: 2.3386, ce_loss: 0.3306, acc: 0.8589, mse: 0.0006, val_loss: 0.3217, val_acc: 0.8732, test_acc: 0.8854, test_auc: 0.9471
Iter: 60, recon_loss: 2.1796, ce_loss: 0.3076, acc: 0.8735, mse: 0.0006, val_loss: 0.3079, val_acc: 0.8768, test_acc: 0.8873, test_auc: 0.9507
Iter: 61, recon_loss: 2.1251, ce_loss: 0.2924, acc: 0.8753, mse: 0.0006, val_loss: 0.3122, val_acc: 0.8721, test_acc: 0.8958, test_auc: 0.9492
Iter: 62, recon_loss: 2.0909, ce_loss: 0.2952, acc: 0.8771, mse: 0.0006, val_loss: 0.3098, val_acc: 0.8768, test_acc: 0.8920, test_auc: 0.9469
Iter: 63, recon_loss: 2.0926, ce_loss: 0.2907, acc: 0.8791, mse: 0.0006, val_loss: 0.3136, val_acc: 0.8674, test_acc: 0.8883, test_auc: 0.9460
Iter: 64, recon_loss: 2.1656, ce_loss: 0.3048, acc: 0.8727, mse: 0.0006, val_loss: 0.3177, val_acc: 0.8756, test_acc: 0.8967, test_auc: 0.9501
Iter: 65, recon_loss: 2.1436, ce_loss: 0.2878, acc: 0.8744, mse: 0.0006, val_loss: 0.3049, val_acc: 0.8779, test_acc: 0.8995, test_auc: 0.9517
Iter: 66, recon_loss: 2.2028, ce_loss: 0.2945, acc: 0.8809, mse: 0.0006, val_loss: 0.3211, val_acc: 0.8650, test_acc: 0.8836, test_auc: 0.9502
Iter: 67, recon_loss: 2.3072, ce_loss: 0.3035, acc: 0.8727, mse: 0.0006, val_loss: 0.3091, val_acc: 0.8756, test_acc: 0.8930, test_auc: 0.9503
Iter: 68, recon_loss: 2.1094, ce_loss: 0.2951, acc: 0.8762, mse: 0.0005, val_loss: 0.3149, val_acc: 0.8709, test_acc: 0.8948, test_auc: 0.9491
